student_id,final_score,task1_score,task1_feedback,task2_score,task2_feedback,task3_score,task3_feedback,task4_score,task4_feedback
2001,60.0,70.0,The expression validation is incomplete and does not handle all cases.,90.0,"The logic is mostly correct, but ensure the output format matches the example.",0.0,File missing.,80.0,The recursive timing print statement has a typo in 'Recurise'.
2002,75.0,100.0,The calculator correctly implements validation and evaluation as per the instructions.,100.0,The game simulation correctly implements elimination and identifies the winner as required.,0.0,File missing.,100.0,The Tribonacci sequence is implemented correctly with both recursive and iterative methods.
2003,0.0,0.0,File missing.,0.0,File missing.,0.0,File missing.,0.0,File missing.
2004,0.0,0.0,File missing.,0.0,File missing.,0.0,File missing.,0.0,File missing.
2005,70.0,80.0,"The validation logic is mostly correct, but the output format is incorrect.",100.0,The implementation correctly simulates the elimination game as per the instructions.,0.0,The submission is incomplete and does not implement the required RSA functionality.,100.0,Both recursive and iterative implementations of the Tribonacci sequence are correct.
2006,81.25,80.0,"The validation function works, but it lacks handling for invalid parentheses.",90.0,"The game logic is mostly correct, but it doesn't handle fewer than two players properly.",70.0,"The program structure is good, but it lacks key generation and decryption functionality.",85.0,"The implementation is mostly correct, but timing results are not printed for both methods."
2007,62.5,70.0,"The validation and evaluation functions are mostly correct, but handling of invalid expressions needs improvement.",100.0,The game simulation is correctly implemented and meets all requirements.,0.0,File missing.,80.0,"The iterative function is correct, but the recursive function has an error in the base case."
2008,85.0,80.0,"The code correctly implements the calculator, but lacks handling for invalid characters.",100.0,The game simulation is correctly implemented and meets all requirements.,70.0,"The program structure is mostly correct, but the key generation and decryption logic is incomplete.",90.0,"Both recursive and iterative functions are implemented correctly, but minor naming issues exist."
2009,0.0,0.0,File missing.,0.0,File missing.,0.0,File missing.,0.0,File missing.
2010,75.0,100.0,The calculator implementation is correct and complete according to the instructions.,100.0,The game simulation is correctly implemented and meets all requirements.,0.0,The program lacks key generation and decryption functionality as per the instructions.,100.0,Both recursive and iterative Tribonacci functions are correctly implemented and timed.
2011,75.0,80.0,"The validation logic is mostly correct, but some edge cases are not handled.",70.0,The elimination logic is incorrect; players are not eliminated in the correct order.,60.0,The program lacks proper handling for decryption and key generation.,90.0,"Both recursive and iterative functions are implemented correctly, but minor typos exist."
2012,75.0,100.0,The calculator correctly implements validation and evaluation as per the instructions.,100.0,The game simulation correctly implements player elimination and returns the expected results.,0.0,The program lacks key generation and does not handle user input correctly.,100.0,The Tribonacci sequence is implemented correctly with both recursive and iterative methods.
2013,100.0,100.0,The calculator correctly implements validation and evaluation as per the instructions.,100.0,The game simulation correctly implements elimination and identifies the winner as required.,100.0,The RSA encryption program meets all specified requirements and handles user input correctly.,100.0,The Tribonacci sequence implementation is complete and accurately measures execution time.
2014,100.0,100.0,The calculator correctly implements validation and evaluation as per the instructions.,100.0,The game simulation correctly implements elimination and winner determination as required.,100.0,The RSA encryption program meets all requirements for key generation and message handling.,100.0,The Tribonacci sequence implementation correctly computes values both recursively and iteratively.
2015,75.0,80.0,"The validation function is mostly correct, but it lacks handling for invalid characters.",70.0,The elimination logic is incorrect; it may skip players due to improper indexing.,60.0,The program lacks key generation and decryption functionality as specified.,90.0,"The implementation is mostly correct, but there's a typo in the print statement for recursive time."
2016,75.0,80.0,The calculator works but lacks handling for invalid characters.,90.0,"The game logic is correct, but it doesn't handle fewer than two participants.",70.0,The RSA implementation is incomplete and has errors in key generation.,60.0,The run_and_time function is missing an argument for n.
2017,75.0,100.0,The calculator implementation meets all requirements and handles expressions correctly.,100.0,The game simulation correctly implements elimination and identifies the winner as required.,0.0,The submission lacks the required RSA encryption implementation and does not meet the task instructions.,100.0,Both recursive and iterative Tribonacci functions are implemented correctly with timing functionality.
2018,85.0,90.0,The code correctly implements the required functions but lacks handling for invalid characters.,70.0,"The elimination logic is flawed, leading to incorrect results in some cases.",80.0,"The program structure is mostly correct, but variable initialization is missing.",100.0,Both recursive and iterative functions are implemented correctly with accurate timing.
2019,81.25,80.0,The validation logic is complex but mostly correct; ensure all edge cases are handled.,70.0,"The elimination logic is mostly correct, but the output format does not match the example.",90.0,"The encryption and decryption functions are well-implemented, but ensure user prompts are clear.",85.0,The recursive function has a minor issue in the base case; ensure it returns correctly.
2020,100.0,100.0,The implementation correctly validates and evaluates mathematical expressions as required.,100.0,The program accurately simulates the elimination game and returns the correct order and winner.,100.0,The program successfully implements RSA encryption and handles user interactions as specified.,100.0,The implementation correctly computes the Tribonacci sequence both recursively and iteratively.
2021,100.0,100.0,The calculator implementation correctly validates and evaluates expressions as required.,100.0,The game simulation correctly implements player elimination and identifies the winner.,100.0,The RSA encryption program meets all requirements for key generation and message handling.,100.0,The Tribonacci sequence functions are correctly implemented with timing as specified.
2022,90.0,90.0,"The validation logic is mostly correct, but using eval is unsafe and not recursive.",100.0,The implementation correctly simulates the elimination game as per the instructions.,80.0,"The program structure is good, but lacks key generation and decryption functionality.",90.0,The recursive function has a minor typo in print statement but otherwise meets requirements.
2023,81.25,80.0,The check_valid function lacks proper handling of invalid expressions.,70.0,The elimination logic has flaws that may lead to incorrect results.,90.0,"The program structure is good, but lacks decryption functionality.",85.0,The iterative function has a logic error in the loop.
2024,90.0,90.0,"The code correctly implements the calculator, but lacks handling for invalid characters.",100.0,The game simulation is complete and correctly implements the elimination logic.,80.0,"The program structure is good, but lacks key generation and decryption functionality.",90.0,"The implementation is correct, but contains a typo in the print statement for recursive execution."
2025,100.0,100.0,The calculator implementation correctly validates and evaluates expressions as required.,100.0,The game simulation correctly eliminates players and identifies the winner as instructed.,100.0,The RSA encryption program meets all requirements for encryption and key generation.,100.0,The Tribonacci sequence functions are implemented correctly with timing as specified.
2026,0.0,0.0,File missing.,0.0,File missing.,0.0,File missing.,0.0,File missing.
2027,65.0,80.0,"The validation function is mostly correct, but error messages should match the instructions.",70.0,The function does not handle cases with fewer than two players correctly.,50.0,"The code lacks key generation, encryption, and decryption functionality.",60.0,The iterative function is incorrectly defined as a duplicate of the recursive function.
